도로코드,도로명,전체 유동인구,남성 유동인구,여성 유동인구,10대 유동인구,20대 유동인구,30대 유동인구,40대 유동인구, 50대 유동인구, 60대 이상 유동인구
000001,가락로16길,808,519,289,0,61,161,186,242,157
000002,가락로28길,22566,10890,11676,1946,4131,4107,3632,4475,4274
000003,가락로36길,24474,13091,11383,2515,5000,4719,4673,4066,3500
000004,가로공원로76길,52398,25529,26869,2807,9052,10856,9850,10152,9683
000005,가마산로12길,30442,17155,13286,551,5549,6649,6369,6437,4887
000006,가마산로15길,23289,13271,10018,496,4440,5039,4862,4861,3591
000007,가마산로61길,35613,18806,16808,1821,6879,5940,7590,7587,5795
000008,가마산로88길,20567,11696,8871,2385,3750,3467,3436,4105,3423
000009,가마산로89길,20868,10507,10360,2369,3831,3311,4034,3990,3332
000010,가산로3길,39419,24166,15254,36,11541,10586,7335,6651,3270
000011,가산로5길,19112,11512,7600,10,6660,5276,2908,2844,1414
000012,가산로7길,12771,7736,5035,53,3910,3649,2173,1912,1074
000013,가재울로14길,769,769,0,0,0,81,267,349,73
000014,가재울로4길,36032,19580,16452,1494,7898,6695,6623,7364,5958
000015,가재울로6길,51942,28280,23662,2773,12045,9214,9281,10145,8485
000016,가좌로11길,46998,24864,22134,1843,9171,10109,8140,9909,7826
000017,가좌로6길,42086,22133,19953,3956,5946,8753,8255,7992,7184
000018,가좌로7길,111189,55382,55808,11659,18647,21783,19773,21611,17718
000019,가좌로7다길,71990,35022,36968,7366,13381,14098,12488,13379,11278
000020,가좌로9길,60621,30647,29975,4197,11494,10798,11389,12118,10627
000021,갈현로1길,25399,13026,12373,1205,4581,6074,4709,4804,4025
000022,갈현로23길,76439,34142,42297,10347,13085,13665,13850,12955,12537
000023,갈현로29길,68071,30760,37311,14064,12207,12465,10928,9602,8805
000024,갈현로33길,58638,27412,31226,13104,9775,9748,8522,9325,8163
000025,갈현로37길,39226,19789,19438,5736,8707,7070,6227,6040,5447
000026,갈현로3길,27504,13770,13734,1483,4157,6637,5660,5220,4346
000027,갈현로41길,17609,9049,8560,996,4499,3446,2449,2479,3740
000028,갈현로45길,42649,21575,21074,2546,8956,7863,7599,8047,7637
000029,갈현로4길,84222,41115,43107,8739,16477,16394,15527,14635,12451
000030,강남대로107길,8261,4455,3806,411,2190,2045,1593,1216,807
000031,강남대로83길,16463,8694,7769,372,5553,5070,2253,1894,1322
000032,강남대로89길,70246,36566,33680,3981,26050,18471,10601,6543,4599
000033,강남대로8길,152433,86311,66122,3659,27838,40517,32908,28352,19159
000034,강남대로97길,4072,2229,1843,102,1025,1290,814,561,280
000035,강동대로9길,16990,8479,8510,829,3029,3561,3336,3115,3119
000036,강서로17다길,109915,52828,57086,3729,20109,26032,19493,19769,20783
000037,강서로18길,63957,29441,34516,2792,15919,15264,11155,9727,9100
000038,강서로18다길,45042,21413,23629,3093,10356,9373,8153,6750,7318
000039,강서로39길,34212,16448,17764,2456,7531,7316,5395,6073,5440
000040,강서로45길,78941,36023,42918,12671,13645,14063,14735,12801,11027
000041,강서로47가길,28754,12137,16617,4679,4272,4591,6701,5036,3475
000042,강서로47길,38619,17342,21277,6368,6380,6645,8881,6019,4326
000043,강서로48길,35636,16984,18652,6893,5512,6271,7063,5969,3928
000044,강서로5나길,157220,82032,75189,7070,38170,37984,27529,25465,21003
000045,강서로74길,5715,2918,2797,64,2586,1720,699,451,196
000046,강서로8길,174499,88740,85759,10947,35697,40913,30358,30392,26193
000047,개봉로2길,33035,16196,16839,2061,5035,6474,6523,6607,6336
000048,개봉로3길,68540,37043,31497,3915,9872,15325,13668,12400,13359
000049,개운사2길,11671,6088,5583,2387,5493,1244,807,1058,681
000050,개포로109길,3240,1714,1526,137,413,632,764,697,598
000051,개포로82길,10111,5072,5039,751,1689,1426,2107,2235,1902
000052,거북골로16길,18666,9112,9555,949,3284,3717,3512,3793,3411
000053,거북골로20길,95362,47785,47577,9242,17060,16725,18474,17151,16709
000054,거북골로23길,4690,2955,1735,79,830,1359,965,808,649
000055,거북골로2길,2084,1454,629,126,136,317,598,612,295
000056,겸재로9길,17272,8764,8508,1244,2791,2772,3149,4318,2999
000057,경기대로9길,48663,24911,23752,4971,16435,7931,7511,6520,5294
000058,경동시장로12길,39779,22238,17541,351,4555,5154,5605,9796,14319
000059,경인로112길,25475,14894,10580,747,9856,5574,3492,3628,2178
000060,경인로22길,57094,28352,28742,3902,14610,13967,7591,7925,9099
000061,경인로35길,39048,21092,17956,1616,7185,6765,6254,9103,8126
000062,경인로40길,17014,8399,8615,1239,3747,3484,2780,3070,2692
000063,경인로47길,95701,58692,37009,16708,36724,12521,11534,10655,7559
000064,경인로47다길,10759,5684,5075,796,2238,1478,1627,2098,2522
000065,경인로59길,37551,16935,20616,3098,6706,8413,7625,6251,5457
000066,경인로76길,8589,5462,3127,89,1854,2098,1540,1667,1341
000067,경인로90길,13167,8144,5023,10,2857,4472,2931,1754,1142
000068,경희궁3나길,3883,1562,2321,142,673,857,921,738,553
000069,경희대로1길,31998,15792,16206,3655,16030,4536,2877,2544,2357
000070,경희대로3길,20754,9555,11199,1277,7066,3452,2698,2883,3377
000071,경희대로4길,101892,48868,53023,13232,52876,12806,8737,7664,6577
000072,경희대로6길,229885,99594,130291,35460,112276,24916,20200,19031,18003
000073,고덕로10길,23291,11967,11324,1063,4289,5470,4596,4445,3427
